Date,Volume(Adjusted),Open,High,Low,Close,Adj Close,Volume
18/10/2018,176472.5,25674.66016,25674.66016,25261.7207,25454.55078,25454.55078,1764725000
19/10/2018,203787.17,25172.0293,25743.44922,25090.30078,25561.40039,25561.40039,2037871700
22/10/2018,222281.22,25668.33008,26234.85938,25668.33008,26153.15039,26153.15039,2222812200
23/10/2018,177291.2,26015.49023,26015.49023,25315.75977,25346.55078,25346.55078,1772912000
24/10/2018,196275.35,25401.16992,25653.35938,25194.28906,25249.7793,25249.7793,1962753500
25/10/2018,228863.42,24766.7207,24994.46094,24653.78906,24994.46094,24994.46094,2288634200
26/10/2018,168839.56,25031.49023,25062.19922,24589.03906,24717.63086,24717.63086,1688395600
29/10/2018,200098.59,24955.78906,24955.78906,24594.74023,24812.03906,24812.03906,2000985900
30/10/2018,210038.75,24765.11914,24939.17969,24540.63086,24585.5293,24585.5293,2100387500
31/10/2018,236308.45,24752.83008,24979.68945,24700.10938,24979.68945,24979.68945,2363084500
1/11/2018,217697.26,25228.75,25535.11914,25190.90039,25416,25416,2176972600
2/11/2018,351897.88,25980.43945,26486.34961,25909.71094,26486.34961,26486.34961,3518978800
5/11/2018,162667.54,26050.33984,26146.81055,25747.51953,25934.39063,25934.39063,1626675400
6/11/2018,156291.31,26062.24023,26159.83008,25826.68945,26120.96094,26120.96094,1562913100
7/11/2018,173128.74,26125.08984,26530.86914,25920.7207,26147.68945,26147.68945,1731287400
8/11/2018,165462.64,26491.26953,26491.26953,26141.25,26227.7207,26227.7207,1654626400
9/11/2018,183979.86,25925.08984,25925.08984,25475.32031,25601.91992,25601.91992,1839798600
12/11/2018,117117.88,25576.2793,25765.96094,25505.33008,25633.17969,25633.17969,1171178800
13/11/2018,168998.94,25092.30078,25792.86914,25092.30078,25792.86914,25792.86914,1689989400
14/11/2018,143167.32,25874.35938,25874.35938,25489.85938,25654.42969,25654.42969,1431673200
15/11/2018,153445.74,25862.17969,26127.14063,25611.7207,26103.33984,26103.33984,1534457400
16/11/2018,133002.41,26041.56055,26197.31055,25850.03906,26183.5293,26183.5293,1330024100
19/11/2018,132004.04,26278.86914,26397.39063,26146.39063,26372,26372,1320040400
20/11/2018,120580,26043.50977,26132.28906,25776.2207,25840.33984,25840.33984,1205800000
21/11/2018,139742.35,25496.84961,25998.2793,25494.50977,25971.4707,25971.4707,1397423500
22/11/2018,101098.36,26139.39063,26139.39063,25873.38086,26019.41016,26019.41016,1010983600
23/11/2018,87706.15,25950.07031,25983.25,25807.25977,25927.67969,25927.67969,877061500
26/11/2018,161198.22,26099.34961,26413.75977,26031.90039,26376.17969,26376.17969,1611982200
27/11/2018,139435.88,26345.36914,26417.83984,26158.9707,26331.96094,26331.96094,1394358800
28/11/2018,141527.38,26406.67969,26705.30078,26332.66016,26682.56055,26682.56055,1415273800
29/11/2018,146959.36,26904.21094,26923.33008,26399.81055,26451.0293,26451.0293,1469593600
